Date,NEPSE,Banking,Hydropower,Hotels And Tourism,Finance,Investment,LifeInsurance,Manufacture,NonLifeInsurance,Others,Mutual Fund,Microfinance,DevBank,Trading
2022-12-06,1933.88,1355.35,1996.66,2712.13,1572.54,56.64,9294.95,5041.69,7588.06,1454.23,13.39,4376.33,3406.18,1878.41
2022-12-07,1917.28,1337.93,1984.32,2712.47,1552.55,56.48,9211.31,4986.2,7551.46,1444.17,13.36,4366.46,3375.38,1860.14
2022-12-11,1885.31,1307.13,1957.85,2684.87,1531.56,55.79,9132.87,4904.19,7453.06,1423.09,13.23,4311.12,3327.47,1835.56
2022-12-12,1902.27,1299.54,1988.77,2713.03,1559.01,56.08,9203.72,4991.4,7483.79,1510.47,13.41,4342.77,3390.49,1839.21
2022-12-13,1899.7,1294.66,2006.29,2710.71,1548.74,56.03,9193.06,4988.59,7509.81,1496.81,13.53,4349.22,3380.89,1836.46
2022-12-14,1897.08,1290.67,2011.95,2730.18,1549.67,56.07,9166.92,5001.15,7501.76,1492.89,13.4,4342.41,3369.29,1836.37
2022-12-15,1882.6,1285.38,1990.52,2709.53,1526.65,55.62,9064.75,4937.07,7463.12,1475.72,13.27,4305.45,3343.57,1831.26
2022-12-18,1855.06,1265.8,1950.0,2684.18,1482.72,55.13,9024.39,4898.62,7396.04,1443.41,13.15,4249.19,3274.71,1826.54
2022-12-19,1858.89,1265.24,1948.99,2688.38,1489.57,55.28,9052.98,4909.0,7409.31,1471.54,13.16,4235.45,3289.99,1828.1
2022-12-20,1873.11,1272.11,1965.02,2752.89,1493.43,55.39,9138.03,4931.29,7437.15,1505.58,13.16,4265.68,3298.29,1843.91
2022-12-21,1867.22,1275.49,1950.95,2744.72,1471.73,55.09,9100.2,4898.0,7417.0,1484.65,13.12,4252.12,3280.46,1828.74
2022-12-22,1867.21,1276.87,1939.21,2682.25,1460.84,54.98,9062.66,4896.43,7395.38,1514.89,13.18,4244.74,3263.37,1808.28
2022-12-26,1924.09,1319.68,2039.3,2743.44,1556.03,57.28,9318.71,5036.31,7653.0,1480.23,13.42,4363.55,3415.42,1864.84
2022-12-27,1983.95,1354.75,2134.65,2860.45,1623.76,60.96,9690.92,5108.68,7936.42,1517.24,13.51,4419.1,3515.81,1918.15
2022-12-28,1972.15,1341.31,2148.9,2795.05,1627.34,60.3,9696.16,5093.23,7946.23,1511.49,13.53,4372.8,3483.02,1902.46
2022-12-29,2029.03,1365.78,2254.66,2870.58,1714.94,62.05,10080.54,5206.19,8294.75,1553.46,13.72,4486.67,3599.58,1949.54
2023-01-01,2046.26,1372.53,2260.19,2885.54,1711.73,62.67,10381.89,5237.59,8456.84,1578.92,13.77,4515.16,3597.46,1955.63
2023-01-02,2064.09,1386.83,2294.62,2967.55,1732.73,62.81,10436.13,5200.22,8715.41,1551.42,13.69,4564.07,3660.23,2024.54
2023-01-03,2061.06,1383.45,2288.26,3044.68,1710.27,62.46,10314.52,5166.73,8693.07,1524.58,13.74,4675.41,3640.69,2088.56
2023-01-04,2125.84,1400.44,2384.05,3098.51,1779.25,66.04,10458.61,5446.14,8993.23,1580.59,13.97,4940.57,3801.96,2291.95
2023-01-05,2143.93,1395.7,2426.31,3276.75,1829.45,68.11,10593.37,5610.25,9123.56,1566.84,14.03,5005.01,3805.52,2340.65
2023-01-08,2164.61,1383.45,2480.17,3407.2,1865.51,69.39,11062.36,5545.62,9445.13,1582.2,14.45,4994.02,3824.74,2398.32
2023-01-09,2211.76,1412.67,2602.78,3401.36,1925.28,71.14,11244.81,5550.79,9686.14,1615.1,14.71,5002.79,3948.09,2473.9
2023-01-10,2190.42,1421.86,2586.66,3285.47,1842.24,70.3,11001.72,5495.05,9407.83,1575.04,14.74,4902.44,3906.29,2402.1
2023-01-12,2149.39,1406.82,2528.44,3199.48,1774.04,68.18,10692.16,5357.1,9174.02,1552.46,14.63,4809.12,3814.5,2417.97
2023-01-17,2182.11,1402.37,2655.83,3363.3,1837.94,70.16,10844.76,5361.69,9290.1,1593.41,14.71,4865.52,3915.86,2423.88
2023-01-18,2173.1,1392.42,2678.54,3336.26,1822.24,69.55,10745.81,5318.66,9194.39,1590.21,14.74,4864.57,3935.74,2251.97
2023-01-19,2178.81,1401.64,2706.07,3300.05,1813.94,70.79,10713.1,5292.49,9213.7,1576.03,14.96,4828.58,3930.15,2312.3
2023-01-23,2165.1,1416.81,2640.62,3220.81,1806.9,69.6,10625.91,5219.64,9095.27,1552.7,15.06,4786.33,3838.49,2310.13
2023-01-24,2173.25,1414.66,2668.75,3231.36,1876.94,69.16,10627.48,5215.9,9155.43,1591.73,14.74,4790.53,3843.09,2314.32
2023-01-25,2183.62,1407.2,2705.31,3349.38,1876.69,69.31,10893.65,5256.85,9349.31,1576.23,14.91,4838.46,3871.33,2333.45
2023-01-26,2183.21,1401.14,2727.52,3375.36,1851.13,69.37,11025.11,5239.76,9488.4,1562.85,14.86,4822.74,3849.9,2337.28
2023-01-29,2168.53,1393.86,2718.8,3382.24,1814.07,68.17,11062.99,5226.49,9479.69,1536.32,14.79,4781.16,3788.55,2326.5
2023-01-30,2127.52,1378.07,2639.01,3260.26,1752.85,66.29,10941.44,5154.31,9209.56,1503.13,14.6,4695.43,3693.12,2280.55
2023-01-31,2111.68,1367.14,2639.61,3228.75,1739.27,65.42,10809.06,5110.8,9175.92,1494.06,14.48,4641.39,3681.89,2267.48
2023-02-01,2116.65,1368.56,2643.5,3279.22,1751.37,65.06,10897.84,5138.8,9198.88,1504.57,14.45,4625.91,3727.68,2263.85
2023-02-02,2094.54,1363.13,2588.99,3228.11,1722.5,64.34,10661.69,5126.39,9065.74,1494.08,14.44,4583.72,3662.66,2235.57
2023-02-05,2096.08,1364.79,2596.43,3252.07,1751.42,64.6,10608.78,5160.84,9024.78,1491.51,14.46,4568.05,3676.41,2218.44
2023-02-06,2100.7,1370.34,2600.01,3260.92,1760.04,64.79,10525.8,5231.28,9022.85,1494.83,14.38,4575.29,3673.57,2217.15
2023-02-07,2177.34,1402.05,2738.68,3358.46,1864.51,68.84,10993.06,5406.78,9418.1,1538.85,14.71,4722.18,3859.59,2308.42
2023-02-08,2170.21,1401.64,2711.32,3308.76,1828.8,68.81,10931.56,5364.88,9389.57,1546.6,14.65,4704.31,3836.96,2309.55
2023-02-09,2182.61,1405.96,2738.67,3321.13,1845.94,69.47,11016.43,5399.72,9443.93,1550.36,14.62,4720.83,3893.1,2317.77
