,Symbol,Date,Close
153,OTHERS,2020-10-13,1012.59
154,OTHERS,2020-10-14,1006.69
155,OTHERS,2020-10-15,1013.24
156,OTHERS,2020-10-18,1011.7
157,OTHERS,2020-10-19,1019.3
158,OTHERS,2020-10-20,1030.7
159,OTHERS,2020-10-21,1033.75
160,OTHERS,2020-10-22,1039.02
161,OTHERS,2020-10-28,1053.59
162,OTHERS,2020-10-29,1059.42
163,OTHERS,2020-11-01,1064.78
164,OTHERS,2020-11-02,1061.5
165,OTHERS,2020-11-03,1076.3
166,OTHERS,2020-11-04,1081.69
167,OTHERS,2020-11-05,1081.02
168,OTHERS,2020-11-08,1109.29
169,OTHERS,2020-11-09,1155.93
170,OTHERS,2020-11-10,1204.5
171,OTHERS,2020-11-11,1254.18
172,OTHERS,2020-11-12,1282.57
173,OTHERS,2020-11-18,1312.54
174,OTHERS,2020-11-19,1370.69
175,OTHERS,2020-11-22,1372.04
176,OTHERS,2020-11-23,1355.97
177,OTHERS,2020-11-24,1417.47
178,OTHERS,2020-11-25,1512.69
179,OTHERS,2020-11-26,1528.05
180,OTHERS,2020-11-29,1528.3
181,OTHERS,2020-11-30,1568.58
182,OTHERS,2020-12-01,1676.27
183,OTHERS,2020-12-02,1817.16
184,OTHERS,2020-12-03,1797.85
185,OTHERS,2020-12-06,1633.76
186,OTHERS,2020-12-07,1714.25
187,OTHERS,2020-12-08,1695.73
188,OTHERS,2020-12-09,1648.88
189,OTHERS,2020-12-10,1662.05
190,OTHERS,2020-12-13,1677.35
191,OTHERS,2020-12-14,1740.74
192,OTHERS,2020-12-15,1721.85
193,OTHERS,2020-12-16,1695.83
194,OTHERS,2020-12-17,1663.38
195,OTHERS,2020-12-20,1534.21
196,OTHERS,2020-12-21,1562.06
197,OTHERS,2020-12-22,1640.86
198,OTHERS,2020-12-23,1604.52
199,OTHERS,2020-12-24,1568.44
200,OTHERS,2020-12-27,1525.26
201,OTHERS,2020-12-28,1524.29
202,OTHERS,2020-12-29,1574.36
203,OTHERS,2020-12-30,1648.04
204,OTHERS,2020-12-31,1671.92
205,OTHERS,2021-01-03,1775.36
206,OTHERS,2021-01-04,1785.21
207,OTHERS,2021-01-05,1779.55
208,OTHERS,2021-01-06,1785.88
209,OTHERS,2021-01-07,1782.23
210,OTHERS,2021-01-10,1785.39
211,OTHERS,2021-01-11,1770.7
212,OTHERS,2021-01-12,1777.18
213,OTHERS,2021-01-13,1789.27
214,OTHERS,2021-01-17,1850.4
215,OTHERS,2021-01-18,1861.82
216,OTHERS,2021-01-19,1833.69
217,OTHERS,2021-01-20,1821.92
218,OTHERS,2021-01-21,1839.39
219,OTHERS,2021-01-24,1944.14
220,OTHERS,2021-01-25,1975.74
221,OTHERS,2021-01-26,1948.95
222,OTHERS,2021-01-27,1946.76
223,OTHERS,2021-01-28,1935.73
224,OTHERS,2021-01-31,1910.14
225,OTHERS,2021-02-01,1964.23
226,OTHERS,2021-02-02,2044.62
227,OTHERS,2021-02-03,2027.05
228,OTHERS,2021-02-04,2028.59
229,OTHERS,2021-02-07,2082.52
230,OTHERS,2021-02-08,2092.2
231,OTHERS,2021-02-09,2058.53
232,OTHERS,2021-02-10,2056.99
233,OTHERS,2021-02-11,2034.91
234,OTHERS,2021-02-14,1988.88
235,OTHERS,2021-02-15,2051.48
236,OTHERS,2021-02-16,2057.03
237,OTHERS,2021-02-17,2067.46
238,OTHERS,2021-02-18,2121.27
239,OTHERS,2021-02-21,2161.18
240,OTHERS,2021-02-22,2189.04
241,OTHERS,2021-02-23,2137.93
242,OTHERS,2021-02-24,2126.53
243,OTHERS,2021-02-25,2089.76
244,OTHERS,2021-02-28,2008.4
245,OTHERS,2021-03-01,2036.02
246,OTHERS,2021-03-02,1992.79
247,OTHERS,2021-03-03,1908.44
248,OTHERS,2021-03-04,2012.31
249,OTHERS,2021-03-07,1994.59
250,OTHERS,2021-03-09,1974.18
251,OTHERS,2021-03-10,2012.91
252,OTHERS,2021-03-14,1916.54
253,OTHERS,2021-03-15,1878.12
254,OTHERS,2021-03-16,1858.01
255,OTHERS,2021-03-17,1905.44
256,OTHERS,2021-03-18,1946.56
257,OTHERS,2021-03-21,2004.5
258,OTHERS,2021-03-22,1973.88
259,OTHERS,2021-03-23,1962.47
260,OTHERS,2021-03-24,1982.89
261,OTHERS,2021-03-25,1945.66
262,OTHERS,2021-03-29,1926.45
263,OTHERS,2021-03-30,1936.96
264,OTHERS,2021-03-31,1961.87
265,OTHERS,2021-04-01,2025.82
266,OTHERS,2021-04-04,2094.86
267,OTHERS,2021-04-05,2127.88
268,OTHERS,2021-04-06,2123.98
269,OTHERS,2021-04-07,2108.67
270,OTHERS,2021-04-08,2086.15
271,OTHERS,2021-04-12,2056.44
272,OTHERS,2021-04-13,2048.93
273,OTHERS,2021-04-15,2052.23
274,OTHERS,2021-04-18,2031.22
275,OTHERS,2021-04-19,2004.5
276,OTHERS,2021-04-20,2006.6
277,OTHERS,2021-04-21,1989.19
278,OTHERS,2021-04-22,2010.51
279,OTHERS,2021-04-25,1963.37
280,OTHERS,2021-04-26,1908.74
281,OTHERS,2021-04-27,1978.38
282,OTHERS,2021-04-28,1996.1
283,OTHERS,2021-04-29,2046.83
284,OTHERS,2021-05-02,2141.69
285,OTHERS,2021-05-03,2108.97
286,OTHERS,2021-05-04,2088.86
287,OTHERS,2021-05-05,2068.74
288,OTHERS,2021-05-06,2045.03
289,OTHERS,2021-05-09,2022.51
290,OTHERS,2021-05-10,2102.06
291,OTHERS,2021-05-11,2154.6
292,OTHERS,2021-05-12,2135.39
